"filename", "language", "Verilog", "comment", "blank", "total"
"g:\myProjs\11_myRV\de_rtl\v0_rv32i_basic\core\core_rv32i_v0.v", "Verilog", 108, 35, 22, 165
"g:\myProjs\11_myRV\de_rtl\v0_rv32i_basic\core\exu.v", "Verilog", 122, 44, 30, 196
"g:\myProjs\11_myRV\de_rtl\v0_rv32i_basic\core\exu_alu.v", "Verilog", 95, 34, 29, 158
"g:\myProjs\11_myRV\de_rtl\v0_rv32i_basic\core\exu_bru.v", "Verilog", 56, 27, 14, 97
"g:\myProjs\11_myRV\de_rtl\v0_rv32i_basic\core\exu_lsu.v", "Verilog", 37, 28, 13, 78
"g:\myProjs\11_myRV\de_rtl\v0_rv32i_basic\core\idu.v", "Verilog", 204, 66, 62, 332
"g:\myProjs\11_myRV\de_rtl\v0_rv32i_basic\core\ifu.v", "Verilog", 20, 19, 12, 51
"g:\myProjs\11_myRV\de_rtl\v0_rv32i_basic\core\mau.v", "Verilog", 43, 20, 15, 78
"g:\myProjs\11_myRV\de_rtl\v0_rv32i_basic\core\regfile.v", "Verilog", 40, 21, 8, 69
"g:\myProjs\11_myRV\de_rtl\v0_rv32i_basic\core\wbu.v", "Verilog", 43, 20, 10, 73
"g:\myProjs\11_myRV\de_rtl\v0_rv32i_basic\defines\config.v", "Verilog", 107, 27, 19, 153
"g:\myProjs\11_myRV\de_rtl\v0_rv32i_basic\defines\macro.v", "Verilog", 120, 11, 20, 151
"g:\myProjs\11_myRV\de_rtl\v0_rv32i_basic\periphs\p_imem_rom.v", "Verilog", 20, 19, 8, 47
"g:\myProjs\11_myRV\de_rtl\v0_rv32i_basic\soc\soc_top_v0.v", "Verilog", 24, 21, 11, 56
"Total", "-", 1039, 392, 273, 1704
